day,month,norm_name,total_likes,total_retweets,year,name,avgViewers,avgPopularity,avgChannels,std_tot_rtw,std_tot_likes,std_avgViewers,buzz
13,6,pokémon gold/silver,16.0,1.0,2019,Pokémon Gold/Silver,8.733812949640289,7.705035971223022,1.9424460431654675,-0.20775193904595673,-0.27479242859541586,-0.5241564355316661,-0.3827143096761762
13,6,hearthstone,588.0,37.0,2019,Hearthstone,21380.671280276816,21350.159169550174,225.62975778546712,-0.17922336308456152,-0.19031926131952562,0.1778584236016982,-0.0034564443001726813
13,6,grand theft auto san andreas,1.0,2.0,2019,Grand Theft Auto: San Andreas,455.9100346020761,436.75778546712803,28.186851211072664,-0.20695947860258465,-0.2770076340309724,-0.5094678115952053,-0.37572568395599193
13,6,fortnite,7344.0,419.0,2019,Fortnite,117869.68512110726,116048.53287197232,7186.0415224913495,0.12349652628357645,0.8074092668551499,3.3472819521396158,1.9063674243544895
13,6,playerunknown's battlegrounds,20.0,4.0,2019,PLAYERUNKNOWN'S BATTLEGROUNDS,40519.42906574394,40224.12802768166,1299.0484429065743,-0.20537455771584046,-0.27420170714593406,0.8065188981746,0.28336538287185636
13,6,music & performing arts,43.0,13.0,2019,Music & Performing Arts,4952.799307958478,5023.155709342561,350.5916955017301,-0.19824241372549167,-0.27080505881141403,-0.36175621106297534,-0.2981399736657141
13,6,magic the gathering,288.0,30.0,2019,Magic: The Gathering,8574.117647058823,8467.53633217993,111.34256055363322,-0.18477058618816616,-0.23462337003065684,-0.2428049326593644,-0.22625095538438794
13,6,dead by daylight,348.0,81.0,2019,Dead by Daylight,13745.55017301038,13756.73356401384,548.5121107266436,-0.1443551035761896,-0.2257625482884306,-0.07293626811860061,-0.12899754702545535
13,6,slots,2018.0,379.0,2019,Slots,13979.965397923876,13955.778546712803,84.14186851211073,0.0917981085486929,0.020863656870199976,-0.06523631244785516,-0.004452714869204361
13,6,auto chess,671.0,113.0,2019,Auto Chess,20273.889273356403,20035.217993079586,187.60207612456747,-0.11899636938828277,-0.1780617912427793,0.14150339421480254,-0.003512843050364242
13,6,call of duty black ops ii,17.0,13.0,2019,Call of Duty: Black Ops II,424.0,400.7112676056338,19.221830985915492,-0.19824241372549167,-0.2746447482330454,-0.5105159766705694,-0.37347977882491895
13,6,call of duty black ops,334.0,59.0,2019,Call of Duty: Black Ops,53.737588652482266,51.319148936170215,9.96808510638298,-0.16178923333037556,-0.22783007336161673,-0.5226781737077767,-0.3587439135268864
13,6,apex legends,349.0,54.0,2019,Apex Legends,17491.647058823528,17115.401384083045,1434.0761245674742,-0.165751535547236,-0.22561486792606017,0.050113674434078125,-0.07278476365128499
13,6,minecraft,2815.0,290.0,2019,Minecraft,22040.913494809687,22208.318339100348,883.8235294117648,0.021269129088576977,0.13856490567943863,0.1995457341666753,0.13973137577534156
13,6,tom clancy's rainbow six siege,45.0,12.0,2019,Tom Clancy's Rainbow Six: Siege,14832.512110726644,14823.532871972318,1294.4740484429067,-0.19903487416886376,-0.27050969808667313,-0.03723227858766728,-0.13600228235771786
