date,name,norm_name,buzz,std_tot_rtw,std_tot_likes,std_avgViewers,buzz_daily_top,avgViewers,avgPopularity,avgChannels,total_likes,total_retweets
2019-06-14,Apex Legends,apex legends,-0.06403164714170145,-0.031692508401769535,-0.03668431243164647,0.0043451736917145545,14,15606.502083333333,15777.739583333336,1634.5229166666666,1022.0,140.0
2019-06-15,Apex Legends,apex legends,-0.05176979897003386,-0.027342608917666624,-0.03175966249920587,0.007332472446838636,15,15781.329166666666,15442.404166666667,1643.1083333333331,1154.0,160.0
2019-06-16,Apex Legends,apex legends,0.011807592994948428,-0.024515174252999733,-0.019186881989868884,0.055509649237817045,14,18600.82463465553,18946.350730688937,1656.6492693110647,1491.0,173.0
2019-06-17,Apex Legends,apex legends,-0.022094231614712884,-0.03778236767951361,-0.04899593726274797,0.06468407332754869,12,19137.74375,18741.535416666666,1555.7125,692.0,112.0
2019-06-18,Apex Legends,apex legends,1.2857830793286364,0.7027880194890068,0.5103249096095965,0.07267015023003301,3,19605.116666666665,19890.36875,1683.46875,15684.0,3517.0
2019-06-19,Apex Legends,apex legends,0.10333842680380992,0.04508321749264683,-0.023850376244073997,0.08210558555523709,12,20157.311064718164,19822.964509394573,1607.0563674321506,1366.0,493.0
2019-06-20,Apex Legends,apex legends,0.12445844683642415,0.07161760434567457,0.04222201034950405,0.010618832141245541,14,15973.658333333333,16233.808333333332,1600.80625,3137.0,615.0
2019-06-21,Apex Legends,apex legends,0.06129109450346603,0.02942357934987635,0.03237271048462285,-0.0005051953310331672,13,15322.641666666666,15393.489583333336,1564.3604166666669,2873.0,421.0
2019-06-22,Apex Legends,apex legends,0.02253892782708105,-0.012552950671716731,-0.028961565946682803,0.06405344444548058,13,19100.837160751566,19101.20668058455,1633.6826722338205,1229.0,228.0
2019-06-23,Apex Legends,apex legends,-0.042021635955337,-0.038434852602129047,-0.029894264797523825,0.026307481444315876,14,16891.8125,16997.914583333335,1630.4604166666666,1204.0,109.0
2019-06-24,Apex Legends,apex legends,-0.01650293364694902,0.008326566851977236,-0.014747235459865617,-0.010082265039060637,11,14762.158333333333,14542.0875,1479.947916666667,1610.0,324.0
2019-06-25,Apex Legends,apex legends,-0.08129095954351324,-0.024515174252999733,-0.030341960245927516,-0.026433825044585996,14,13805.208333333334,13951.639583333335,1498.845833333333,1192.0,173.0
2019-06-26,Apex Legends,apex legends,0.14364138951594974,0.14708836039486006,-0.0008313686053175578,-0.002615602273592787,10,15199.133333333333,15113.841666666667,1504.895833333333,1983.0,962.0
2019-06-27,Apex Legends,apex legends,6.425219281093458,4.181402636926103,2.2570087015565967,-0.013192057389241505,2,14580.1625,14518.43125,1525.3916666666669,62502.0,19511.0
2019-06-28,Apex Legends,apex legends,0.635450939254738,0.30368474182256483,0.31647278045079835,0.015293416981374717,7,16247.23125,15997.066666666668,1538.5375,10488.0,1682.0
2019-06-29,Apex Legends,apex legends,0.05305420982429819,0.0100665266456184,0.007488305144184365,0.035499378034495425,11,17429.754166666666,17897.33125,1625.7729166666666,2206.0,332.0
2019-06-30,Apex Legends,apex legends,-0.028613263304818098,0.018113840691208784,0.0009594131882972058,-0.04768651718432409,13,12561.427083333334,12585.016666666665,1580.98125,2031.0,369.0
2019-07-01,Apex Legends,apex legends,2.4232812925823506,1.3939870475129592,0.9501856876662229,0.0791085574031685,2,19981.914583333335,19471.44583333333,1496.2041666666669,27474.0,6695.0
2019-07-02,Apex Legends,apex legends,2.9941482730102416,1.6106120418212841,0.8561323355474142,0.5274038956415432,2,46217.7125,45876.4375,2549.5354166666666,24953.0,7691.0
2019-07-03,Apex Legends,apex legends,0.531020724919059,-0.0012432120130491653,0.02741075259814861,0.5048531843339596,9,44897.96666666667,45605.225,3128.895833333333,2740.0,280.0
2019-07-04,Apex Legends,apex legends,0.33355153104936,-0.007333071290793239,-0.019261497897936165,0.36014610023808935,8,36429.20625,36508.69375,2668.414583333333,1489.0,252.0
2019-07-05,Apex Legends,apex legends,0.24167836672143603,-0.017120345130024785,0.0625175373438047,0.19628117450765611,9,26839.2625,26515.09166666667,2206.63125,3681.0,207.0
2019-07-06,Apex Legends,apex legends,0.978436520870408,0.2040720436366082,0.29002144104094696,0.4843430361928528,6,43697.64166666667,43069.754166666666,2409.8229166666665,9779.0,1224.0
2019-07-07,Apex Legends,apex legends,1.5881591502081736,0.33913642261800353,0.6852992140273725,0.5637235135627976,3,48343.2625,49114.075,2424.4875,20374.0,1845.0
2019-07-08,Apex Legends,apex legends,0.41275593996464865,-0.034954933014846715,-0.047578235009469616,0.49528910798896497,7,44338.24375,45489.97291666666,2212.364583333333,730.0,125.0
2019-07-09,Apex Legends,apex legends,0.966387266379432,0.14317345085916744,0.24096148148670918,0.5822523340335554,5,49427.63333333333,49384.92916666667,2339.4791666666665,8464.0,944.0
2019-06-14,Auto Chess,auto chess,-0.23727723635968728,-0.05409449074489952,-0.051122490642665504,-0.13206025497212226,20,7623.583333333333,7719.5375,133.89791666666667,635.0,37.0
2019-06-15,Auto Chess,auto chess,-0.2368722263754015,-0.055834450538540685,-0.02556654212962148,-0.15547123370723934,19,6253.491666666667,6269.704166666666,124.94583333333334,1320.0,29.0
2019-06-16,Auto Chess,auto chess,-0.25847237633629416,-0.05148455105443778,-0.0513090304128337,-0.1556787948690227,21,6241.344467640919,6349.4906054279745,122.24843423799581,630.0,49.0
2019-06-17,Auto Chess,auto chess,-0.15472043372408417,-0.021470244614127696,0.01868069135427664,-0.15193088046423311,16,6460.685416666666,6466.889583333334,127.44166666666666,2506.0,187.0
