date,name,norm_name,buzz,std_tot_rtw,std_tot_likes,std_avgViewers,buzz_daily_top,twitch_daily_top,avgViewers,avgPopularity,avgChannels,total_likes,total_retweets
2019-06-14,Apex Legends,apex legends,-0.05811994978922935,-0.028653852113043114,-0.033151754751621056,0.0036856570754348283,14,15.0,15606.502083333333,15777.739583333336,1634.5229166666666,1022.0,140.0
2019-06-15,Apex Legends,apex legends,-0.04554758302307868,-0.02415295948618884,-0.02806213505987226,0.006667511522982426,15,16.0,15781.329166666666,15442.404166666667,1643.1083333333331,1154.0,160.0
2019-06-16,Apex Legends,apex legends,0.018461325090717948,-0.02122737927873356,-0.015068181755937838,0.05475688612538935,14,14.0,18600.82463465553,18946.350730688937,1656.6492693110647,1491.0,173.0
2019-06-17,Apex Legends,apex legends,-0.016916315808041385,-0.0349551017906391,-0.04587580398099305,0.06391458996359077,12,12.0,19137.74375,18741.535416666666,1555.7125,692.0,112.0
2019-06-18,Apex Legends,apex legends,1.3353895885728004,0.7313218679313009,0.5321816082818701,0.07188611235962941,3,13.0,19605.116666666665,19890.36875,1683.46875,15684.0,3517.0
2019-06-19,Apex Legends,apex legends,0.11220335712201704,0.0507869027509348,-0.0198878973731242,0.08130435174420643,12,15.0,20157.311064718164,19822.964509394573,1607.0563674321506,1366.0,493.0
2019-06-20,Apex Legends,apex legends,0.1365880631416144,0.07824234777474587,0.04839783349117214,0.009947881875696396,14,16.0,15973.658333333333,16233.808333333332,1600.80625,3137.0,615.0
2019-06-21,Apex Legends,apex legends,0.07164641118006669,0.03458368929425942,0.03821859410767455,-0.0011558722218672894,13,18.0,15322.641666666666,15393.489583333336,1564.3604166666669,2873.0,421.0
2019-06-22,Apex Legends,apex legends,0.02926488014884148,-0.008849924554884312,-0.02517030568956045,0.06328511039328624,13,16.0,19100.837160751566,19101.20668058455,1633.6826722338205,1229.0,228.0
2019-06-23,Apex Legends,apex legends,-0.036156545649049014,-0.035630235684667236,-0.02613424881299772,0.025607938848615956,14,19.0,16891.8125,16997.914583333335,1630.4604166666666,1204.0,109.0
2019-06-24,Apex Legends,apex legends,-0.008440940297070544,0.0127543600540162,-0.010479812488376424,-0.010715487862710319,11,29.0,14762.158333333333,14542.0875,1479.947916666667,1610.0,324.0
2019-06-25,Apex Legends,apex legends,-0.07486156818416469,-0.02122737927873356,-0.026596941512247608,-0.027037247393183517,14,25.0,13805.208333333334,13951.639583333335,1498.845833333333,1192.0,173.0
2019-06-26,Apex Legends,apex legends,0.15697262078483093,0.1563328348506675,0.003902218913307671,-0.003262432979144257,10,28.0,15199.133333333333,15113.841666666667,1504.895833333333,1983.0,962.0
2019-06-27,Apex Legends,apex legends,6.654243263369423,4.330685701626663,2.3373771744053187,-0.013819612662558519,2,29.0,14580.1625,14518.43125,1525.3916666666669,62502.0,19511.0
2019-06-28,Apex Legends,apex legends,0.6648145862785287,0.3183649694174213,0.3318356695066676,0.014613947354439844,7,19.0,16247.23125,15997.066666666668,1538.5375,10488.0,1682.0
2019-06-29,Apex Legends,apex legends,0.061838392023018975,0.014554717104757905,0.012500591574368138,0.03478308334389293,11,17.0,17429.754166666666,17897.33125,1625.7729166666666,2206.0,332.0
2019-06-30,Apex Legends,apex legends,-0.019616848642662214,0.02288136846443831,0.005752989710307233,-0.048251206817407764,13,18.0,12561.427083333334,12585.016666666665,1580.98125,2031.0,369.0
2019-07-01,Apex Legends,apex legends,2.5116036772647274,1.4465137063384446,0.9867771852948874,0.07831278563139563,2,13.0,19981.914583333335,19471.44583333333,1496.2041666666669,27474.0,6695.0
2019-07-02,Apex Legends,apex legends,3.086022432162782,1.6706581591557879,0.889573160727473,0.525791112279521,2,7.0,46217.7125,45876.4375,2549.5354166666666,24953.0,7691.0
2019-07-03,Apex Legends,apex legends,0.5392243122740153,0.0028523962749367983,0.033090416690988264,0.5032814993080903,9,8.0,44897.96666666667,45605.225,3128.895833333333,2740.0,280.0
2019-07-04,Apex Legends,apex legends,0.3402439911135129,-0.003448853402659184,-0.015145297205812818,0.3588381417219849,8,8.0,36429.20625,36508.69375,2668.414583333333,1489.0,252.0
2019-07-05,Apex Legends,apex legends,0.2510692314270096,-0.013575861813081297,0.06937323585716718,0.19527185738292374,9,10.0,26839.2625,26515.09166666667,2206.63125,3681.0,207.0
2019-07-06,Apex Legends,apex legends,1.0026015013955425,0.21529452826245848,0.3044982425259865,0.4828087306070973,6,10.0,43697.64166666667,43069.754166666666,2409.8229166666665,9779.0,1224.0
2019-07-07,Apex Legends,apex legends,1.6301091208019731,0.35504724432628365,0.7130173382387022,0.5620445382369873,3,9.0,48343.2625,49114.075,2424.4875,20374.0,1845.0
2019-07-08,Apex Legends,apex legends,0.4172947213335168,-0.03202952158318382,-0.044410610433368386,0.493734853350069,7,7.0,44338.24375,45489.97291666666,2212.364583333333,730.0,125.0
2019-07-09,Apex Legends,apex legends,0.9866164559275434,0.15228203148649866,0.253794834233186,0.5805395902078588,5,7.0,49427.63333333333,49384.92916666667,2339.4791666666665,8464.0,944.0
2019-06-14,Auto Chess,auto chess,-0.2323782181660345,-0.05183344914134262,-0.048073594302430016,-0.13247117472226186,20,27.0,7623.583333333333,7719.5375,133.89791666666667,635.0,37.0
2019-06-15,Auto Chess,auto chess,-0.23113484620896,-0.05363380619208433,-0.021661552720248778,-0.1558394872966269,19,28.0,6253.491666666667,6269.704166666666,124.94583333333334,1320.0,29.0
2019-06-16,Auto Chess,auto chess,-0.2534459666736257,-0.049132913565230064,-0.04826638292711749,-0.15604667018127816,21,30.0,6241.344467640919,6349.4906054279745,122.24843423799581,630.0,49.0
2019-06-17,Auto Chess,auto chess,-0.14631443167910055,-0.018076754439935568,0.0240679090556154,-0.1523055862947804,16,28.0,6460.685416666666,6466.889583333334,127.44166666666666,2506.0,187.0
2019-06-18,Auto Chess,auto chess,-0.2867942892513778,-0.053858850823427035,-0.058407064585677584,-0.17452837384227315,24,35.0,5157.75625,5249.66875,115.45416666666668,367.0,28.0
2019-06-19,Auto Chess,auto chess,-0.3368013528509581,-0.055209118611483324,-0.052507732670241475,-0.2290845015692333,26,70.0,1959.112970711297,1994.1150627615064,87.51882845188284,520.0,22.0
2019-06-20,Auto Chess,auto chess,-0.2949643507484345,-0.05003309209060091,-0.04167301196280654,-0.2032582466950271,23,51.0,3473.3145833333333,3548.958333333333,102.01666666666668,801.0,45.0
2019-06-21,Auto Chess,auto chess,-0.3434148522231668,-0.0498080474592582,-0.06052773945723958,-0.23307906530666905,26,75.0,1724.9104166666666,1710.8208333333334,76.56875,312.0,46.0
2019-06-22,Auto Chess,auto chess,-0.20155884376054112,-0.020552245384705417,0.055646685779420425,-0.2366532841552561,18,81.0,1515.3528183716076,1514.98121085595,69.38204592901879,3325.0,176.0
2019-06-23,Auto Chess,auto chess,-0.3358618622036923,-0.0565593863995396,-0.04090185746405672,-0.23840061834009596,25,109.0,1412.9060542797495,1414.9582463465554,68.28601252609603,821.0,16.0
2019-06-24,Auto Chess,auto chess,-0.3283057461725042,-0.03405492326526824,-0.052777636744803916,-0.241473186162432,24,124.0,1232.7604166666667,1218.5354166666666,65.95208333333333,513.0,116.0
2019-06-25,Auto Chess,auto chess,-0.2350079555502811,-0.032479610845869235,0.03559666881192517,-0.23812501351633705,20,103.0,1429.0648535564853,1415.3514644351465,63.97489539748954,2805.0,123.0
2019-06-26,Auto Chess,auto chess,-0.3383060668828841,-0.04508211020106121,-0.060759085806864524,-0.2324648708749584,24,93.0,1760.9208333333333,1749.5895833333334,71.1125,306.0,67.0
2019-06-27,Auto Chess,auto chess,-0.2865167332116603,-0.03157943232049839,-0.010441254763438934,-0.24449604612772294,23,116.0,1055.5291666666667,1073.00625,49.08333333333334,1611.0,127.0
2019-06-28,Auto Chess,auto chess,-0.32386769306468105,-0.0498080474592582,-0.04618426578049297,-0.22787537982492986,25,77.0,2030.0041666666666,1979.575,52.26875,684.0,46.0
2019-06-29,Auto Chess,auto chess,-0.2927864466894887,-0.05048318135328634,-0.004117787873690431,-0.23818547746251195,23,94.0,1425.5198329853863,1462.2442588726515,49.010438413361165,1775.0,43.0
2019-06-30,Auto Chess,auto chess,-0.3333917521453315,-0.047782645777173775,-0.04791936340268006,-0.2376897429654777,24,80.0,1454.5849056603774,1428.9958071278827,45.79664570230608,639.0,55.0
2019-07-01,Auto Chess,auto chess,-0.35237459636874524,-0.05430894008611247,-0.058638410935302525,-0.23942724534733026,29,89.0,1352.7145833333334,1358.9916666666666,48.60833333333333,361.0,26.0
2019-07-02,Auto Chess,auto chess,-0.3460359659558848,-0.047782645777173775,-0.056363505163990565,-0.2418898150147205,27,96.0,1208.3333333333333,1202.5303983228512,46.65618448637318,420.0,55.0
2019-07-03,Auto Chess,auto chess,-0.3145271890957944,-0.046657422620460215,-0.036005026396995383,-0.23186474007833874,23,69.0,1796.1066945606694,1841.5188284518827,45.48953974895397,948.0,60.0
