,date,name,buzz,std_tot_rtw,std_tot_likes,std_avgViewers,total_retweets,total_likes,avgViewers,twitch_daily_top
0,2019-07-01,Pokémon Gold/Silver,-0.3972953467091479,-0.06170681484207963,-0.07339533920074924,-0.262193192666319,2.0,38.0,7.752508361204013,1942.0
1,2019-07-01,COD: Modern Warfare 3,-0.3990120112920431,-0.06214180479048992,-0.0747384255459603,-0.2621317809555929,0.0,2.0,11.346534653465346,1547.0
2,2019-07-01,COD: Black Ops 4,-0.18726944019392855,-0.06214180479048992,-0.07481304145402759,-0.05031459394941104,0.0,0.0,12407.622916666667,21.0
3,2019-07-01,COD: Modern Warfare 2,-0.39834291926105914,-0.06214180479048992,-0.07466380963789303,-0.2615373048326762,0.0,4.0,46.137339055793994,694.0
4,2019-07-01,GTA V,1.0301348066103422,-0.05431198571910468,-0.07022416310788974,1.1546709554373367,36.0,123.0,82927.55625,4.0
5,2019-07-01,Dead by Daylight,-0.10956866476693532,-0.030170043582333522,-0.03314005679845063,-0.046258564386151155,147.0,1117.0,12644.995833333332,20.0
6,2019-07-01,Fortnite,5.878510938027608,1.7926553352309913,2.5460707294092497,1.5397848733873674,8528.0,70250.0,105465.75833333333,2.0
7,2019-07-01,Magic: The Gathering,-0.20326325824414093,-0.053442005822284096,-0.0652622052214155,-0.08455904720044133,40.0,256.0,10403.51875,23.0
8,2019-07-01,Slots,0.5062075288281533,0.4511463343336536,0.20503392175231328,-0.14997272725781358,2360.0,7501.0,6575.283333333334,32.0
9,2019-07-01,Auto Chess,-0.35704341285317576,-0.05648693546115613,-0.0613448700478832,-0.2392116073441364,26.0,361.0,1352.7145833333334,89.0
10,2019-07-01,COD: Black Ops,-0.3742063105262129,-0.054529480693309824,-0.058696005311494694,-0.26098082452140836,35.0,432.0,78.70449678800857,516.0
11,2019-07-01,Apex Legends,2.423281292582352,1.3939870475129594,0.9501856876662244,0.07910855740316824,6695.0,27474.0,19981.914583333335,13.0
12,2019-07-01,Rainbow Six Siege,-0.1535208880444553,-0.056704430435361275,-0.07104493809662986,-0.025771519512464154,25.0,101.0,13843.96875,19.0
13,2019-07-01,Splitgate: Arena Warfare,-0.39375302094280445,-0.05844439022900244,-0.07365649487898472,-0.2616521358348173,17.0,31.0,39.417030567685586,759.0
14,2019-07-01,CS:GO,0.09083460952336622,-0.05257202592546351,-0.062277568898724225,0.20568420434755397,44.0,336.0,27389.560416666667,10.0
15,2019-07-01,Super Mario Bros.,-0.23157380208203893,0.015286406026541896,0.015211051629148056,-0.2620712597377289,356.0,2413.0,14.888446215139442,1337.0
16,2019-07-01,Wii Sports Resort,-0.39679764979840687,-0.061271824893669335,-0.07332072329268195,-0.26220510161205557,4.0,40.0,7.055555555555555,2054.0
17,2019-07-01,World of Warcraft,0.06230999777913801,-0.05409449074489953,-0.05343558379275132,0.16984007231678885,37.0,573.0,25291.8375,11.0
18,2019-07-01,Super Mario World,0.7841204356372815,0.598172936896332,0.44589407299349937,-0.2599465742525497,3036.0,13957.0,139.2324093816631,376.0
19,2019-07-01,Tetris,0.6871475630737816,0.6023053414062297,0.34654299140191347,-0.2617007697343617,3055.0,11294.0,36.570806100217865,789.0
20,2019-07-01,GTA IV,-0.39818087773298017,-0.06192430981628477,-0.07458919372982574,-0.26166737418686964,1.0,6.0,38.52522935779817,763.0
21,2019-07-01,Pokémon Red/Blue,-0.3567292352397583,-0.05126705608023264,-0.043660899835937385,-0.26180127932358827,50.0,835.0,30.688636363636363,871.0
22,2019-07-01,Death Stranding,-0.24250162803455705,0.03072854919510723,-0.010904516194400618,-0.26232566103526367,427.0,1713.0,0.0,
23,2019-07-01,Mario Kart DS,-0.37654706202300503,-0.048874611363976035,-0.06537412908351643,-0.2622983215755125,61.0,253.0,1.6,4488.0
24,2019-07-01,COD: Ghosts,-0.39625183777623313,-0.06170681484207963,-0.07257456421200913,-0.26197045872214436,2.0,60.0,20.78767123287671,1118.0
25,2019-07-01,Wii Play,-0.3685803386464916,-0.051484551054437784,-0.05477867013796239,-0.2623171174540914,49.0,537.0,0.5,5707.0
26,2019-07-01,Mario Kart Wii,-0.24624864736071045,-0.04387222695725769,0.059159821480777114,-0.26153624188422986,84.0,3591.0,46.19954648526077,693.0
27,2019-07-01,Wii Sports,-0.3503312557129443,-0.05431198571910468,-0.03373698406298889,-0.2622822859308508,36.0,1101.0,2.5384615384615383,3681.0
28,2019-07-01,COD: Advanced Warfare,-0.3976228718605177,-0.06148931986787448,-0.07388034260318657,-0.2622532093894566,3.0,25.0,4.240121580547113,2799.0
29,2019-07-01,Clam Man,-0.39768897075632803,-0.06170681484207963,-0.07365649487898472,-0.26232566103526367,2.0,31.0,0.0,
30,2019-07-01,COD: Black Ops III,-0.3811842210043018,-0.05800940028059215,-0.06977646765948606,-0.2533983530642236,19.0,135.0,522.4570230607967,166.0
31,2019-07-01,Minecraft,1.190911166940684,0.25627083744584317,0.7013043263078055,0.23333600318703523,1464.0,20803.0,29007.839583333334,8.0
32,2019-07-01,New Super Mario Bros. Wii,-0.39854176745132686,-0.06214180479048992,-0.07421611418948934,-0.26218384847134757,0.0,16.0,8.299363057324841,1869.0
33,2019-07-01,Dota 2,0.07905856556098298,-0.06170681484207963,-0.07470111759192667,0.21546649799498926,2.0,3.0,27962.054166666665,9.0
34,2019-07-01,Hearthstone,0.4584016695912785,0.25148594801332996,0.15735435649732013,0.04956136508062836,1442.0,6223.0,18252.710416666665,14.0
